section,runtime,model,concurrency,output_tok_s,total_tok_s,ttft_p50_ms,tpot_p50_ms,failed,note
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,1,39.85,82.96,89.62,23.73,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,4,131.34,273.46,139.49,29.10,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,8,208.21,433.37,265.71,36.40,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,16,306.93,638.73,377.35,49.02,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,32,435.28,905.92,723.74,68.08,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,64,581.52,1210.24,1534.21,97.50,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,96,668.16,1390.72,2497.10,125.08,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,128,727.74,1514.94,2897.16,153.53,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,192,796.66,1658.29,4142.51,210.79,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,RedHatAI/Qwen3.6-35B-A3B-NVFP4,256,827.01,1721.28,4595.12,272.78,0,optimized eugr NVFP4 sweep
full_sweep,eugr spark-vllm,Qwen/Qwen3.6-35B-A3B-FP8,1,50.58,105.29,114.86,18.16,0,eugr Qwen FP8 baseline
full_sweep,eugr spark-vllm,Qwen/Qwen3.6-35B-A3B-FP8,16,269.61,561.07,601.96,53.65,0,eugr Qwen FP8 baseline
full_sweep,eugr spark-vllm,Qwen/Qwen3.6-35B-A3B-FP8,64,500.97,1042.58,1517.48,114.33,0,eugr Qwen FP8 baseline
full_sweep,eugr spark-vllm,Qwen/Qwen3.6-35B-A3B-FP8,128,640.38,1333.03,2879.37,176.02,0,eugr Qwen FP8 baseline
full_sweep,eugr spark-vllm,Qwen/Qwen3.6-35B-A3B-FP8,256,776.18,1615.43,3840.87,299.05,0,eugr Qwen FP8 baseline
short_runtime_matrix,Red Hat vLLM 3.4.0,Qwen/Qwen3.6-35B-A3B-FP8,1,13.49,26.99,114.67,19.57,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Red Hat vLLM 3.4.0,Qwen/Qwen3.6-35B-A3B-FP8,16,257.45,514.91,523.62,52.34,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Red Hat vLLM 3.4.0,Qwen/Qwen3.6-35B-A3B-FP8,64,501.15,1002.31,1472.12,116.64,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Red Hat vLLM 3.4.0,RedHatAI/Qwen3.6-35B-A3B-FP8-dynamic,1,24.56,49.12,120.63,25.29,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Red Hat vLLM 3.4.0,RedHatAI/Qwen3.6-35B-A3B-FP8-dynamic,16,244.21,488.42,607.28,55.80,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Red Hat vLLM 3.4.0,RedHatAI/Qwen3.6-35B-A3B-FP8-dynamic,64,486.42,972.85,1606.81,119.82,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Red Hat vLLM 3.4.0,RedHatAI/Qwen3.6-35B-A3B-NVFP4,1,12.11,24.22,95.82,24.60,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Red Hat vLLM 3.4.0,RedHatAI/Qwen3.6-35B-A3B-NVFP4,16,290.09,580.17,544.81,45.82,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Red Hat vLLM 3.4.0,RedHatAI/Qwen3.6-35B-A3B-NVFP4,64,569.38,1138.75,1612.03,100.83,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Upstream vLLM 0.22.0,RedHatAI/Qwen3.6-35B-A3B-NVFP4,1,37.32,77.76,93.87,24.39,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Upstream vLLM 0.22.0,RedHatAI/Qwen3.6-35B-A3B-NVFP4,16,321.41,668.87,530.61,45.56,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Upstream vLLM 0.22.0,RedHatAI/Qwen3.6-35B-A3B-NVFP4,64,580.14,1207.67,1579.35,98.46,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Upstream vLLM 0.22.0,Qwen/Qwen3.6-35B-A3B-FP8,1,46.77,97.47,118.53,18.67,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Upstream vLLM 0.22.0,Qwen/Qwen3.6-35B-A3B-FP8,16,271.58,565.17,618.82,53.63,0,c1/c16/c64 runtime comparison
short_runtime_matrix,Upstream vLLM 0.22.0,Qwen/Qwen3.6-35B-A3B-FP8,64,500.63,1042.10,1688.04,115.61,0,c1/c16/c64 runtime comparison
modelopt_smoke,upstream-nightly,nvidia/Qwen3.6-35B-A3B-NVFP4,1,64.9,135.05,312.47,13.07,0,NVIDIA ModelOpt NVFP4 c1/c4 smoke; max-num-seqs=4
modelopt_smoke,upstream-nightly,nvidia/Qwen3.6-35B-A3B-NVFP4,4,167.4,348.53,522.68,19.96,0,NVIDIA ModelOpt NVFP4 c1/c4 smoke; max-num-seqs=4
modelopt_smoke,eugr,nvidia/Qwen3.6-35B-A3B-NVFP4,1,67.87,141.24,272.85,12.7,0,NVIDIA ModelOpt NVFP4 c1/c4 smoke; max-num-seqs=4
modelopt_smoke,eugr,nvidia/Qwen3.6-35B-A3B-NVFP4,4,178.65,371.96,303.85,19.94,0,NVIDIA ModelOpt NVFP4 c1/c4 smoke; max-num-seqs=4
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-NVFP4,1,38.70,80.56,135.08,24.94,0,auto compressed-tensors; flashinfer attention; flashinfer_cutlass MoE; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-NVFP4,4,135.26,281.55,286.50,27.98,0,auto compressed-tensors; flashinfer attention; flashinfer_cutlass MoE; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-NVFP4,8,211.46,440.27,391.23,34.91,0,auto compressed-tensors; flashinfer attention; flashinfer_cutlass MoE; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-NVFP4,16,316.10,657.82,605.96,45.80,0,auto compressed-tensors; flashinfer attention; flashinfer_cutlass MoE; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-NVFP4,32,335.25,697.71,1002.90,64.52,0,auto compressed-tensors; flashinfer attention; flashinfer_cutlass MoE; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-NVFP4,64,600.18,1249.40,1698.12,93.37,0,auto compressed-tensors; flashinfer attention; flashinfer_cutlass MoE; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-NVFP4,96,694.80,1446.28,2134.74,122.12,0,auto compressed-tensors; flashinfer attention; flashinfer_cutlass MoE; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-NVFP4,128,723.33,1505.48,2379.13,152.13,0,auto compressed-tensors; flashinfer attention; flashinfer_cutlass MoE; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,Qwen/Qwen3.6-35B-A3B-FP8,1,47.80,99.49,107.45,19.71,0,auto fp8 from model config; flashinfer attention; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,Qwen/Qwen3.6-35B-A3B-FP8,4,130.49,271.62,256.40,28.97,0,auto fp8 from model config; flashinfer attention; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,Qwen/Qwen3.6-35B-A3B-FP8,8,194.28,404.50,398.45,38.81,0,auto fp8 from model config; flashinfer attention; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,Qwen/Qwen3.6-35B-A3B-FP8,16,277.74,577.99,593.33,53.12,0,auto fp8 from model config; flashinfer attention; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,Qwen/Qwen3.6-35B-A3B-FP8,32,348.62,725.52,902.91,77.39,0,auto fp8 from model config; flashinfer attention; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,Qwen/Qwen3.6-35B-A3B-FP8,64,515.03,1072.09,1533.41,112.32,0,auto fp8 from model config; flashinfer attention; fp8_e4m3 KV
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-FP8-dynamic,1,25.99,54.10,190.55,29.79,0,disable-cuda-graph; c4 failed after service exit
sglang_round27,SGLang nightly nightly,RedHatAI/Qwen3.6-35B-A3B-FP8-dynamic,4,0.00,0.00,0.00,0.00,16,disable-cuda-graph; c4 failed after service exit
sglang_round28_align,SGLang nightly nightly,Qwen/Qwen3.6-35B-A3B-FP8,96,597.90,1244.51,2282.74,145.87,0,round28 aligned c96/c128; auto fp8 from model config; flashinfer attention; fp8_e4m3 KV
sglang_round28_align,SGLang nightly nightly,Qwen/Qwen3.6-35B-A3B-FP8,128,636.08,1323.86,2483.03,174.84,0,round28 aligned c96/c128; auto fp8 from model config; flashinfer attention; fp8_e4m3 KV
nvidia_modelopt_high_concurrency_round28,upstream-nightly,nvidia/Qwen3.6-35B-A3B-NVFP4,16,368.75,767.38,785.82,36.10,0,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
nvidia_modelopt_high_concurrency_round28,upstream-nightly,nvidia/Qwen3.6-35B-A3B-NVFP4,64,662.45,1378.96,1621.88,83.74,0,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
nvidia_modelopt_high_concurrency_round28,upstream-nightly,nvidia/Qwen3.6-35B-A3B-NVFP4,128,771.79,1606.30,2868.86,141.11,0,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
nvidia_modelopt_high_concurrency_round28,eugr spark-vllm,nvidia/Qwen3.6-35B-A3B-NVFP4,16,344.91,717.78,749.40,37.79,0,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
nvidia_modelopt_high_concurrency_round28,eugr spark-vllm,nvidia/Qwen3.6-35B-A3B-NVFP4,64,669.20,1393.00,1392.09,85.41,0,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
nvidia_modelopt_high_concurrency_round28,eugr spark-vllm,nvidia/Qwen3.6-35B-A3B-NVFP4,128,807.29,1680.19,2499.64,139.04,0,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
