original_ref,export_ref,source_size_bytes
files/solution-2026-06-01-17-45/chart-throughput-curves-clean-r3.svg,images/chart-throughput-curves-clean-r3.svg,72231
files/solution-2026-06-01-22-19/chart-redhatai-nvfp4-runtime-common-r6.svg,images/chart-redhatai-nvfp4-runtime-common-r6.svg,4181
files/solution-2026-06-01-22-19/chart-redhatai-nvfp4-eugr-vs-sglang-full-r6.svg,images/chart-redhatai-nvfp4-eugr-vs-sglang-full-r6.svg,5096
files/solution-2026-06-01-22-19/chart-redhatai-nvfp4-eugr-vs-sglang-full-r6.svg,images/chart-redhatai-nvfp4-eugr-vs-sglang-full-r6.svg,5096
files/solution-2026-06-01-22-19/chart-sglang-nvfp4-vs-fp8-aligned-r6.svg,images/chart-sglang-nvfp4-vs-fp8-aligned-r6.svg,4514
files/solution-2026-06-01-22-19/chart-nvidia-nvfp4-high-concurrency-r6.svg,images/chart-nvidia-nvfp4-high-concurrency-r6.svg,4246
files/solution-2026-06-01-22-19/chart-redhatai-nvfp4-runtime-common-r6.svg,images/chart-redhatai-nvfp4-runtime-common-r6.svg,4181
files/solution-2026-06-01-19-35/chart-agent-long-throughput-r4.svg,images/chart-agent-long-throughput-r4.svg,54899
files/solution-2026-06-01-19-35/chart-agent-long-ttft-r4.svg,images/chart-agent-long-ttft-r4.svg,64145
files/solution-2026-06-01-19-35/chart-agent-long-latency-r4.svg,images/chart-agent-long-latency-r4.svg,65329
files/solution-2026-06-01-22-19/chart-agent-long-16k-100k-throughput-r6.svg,images/chart-agent-long-16k-100k-throughput-r6.svg,3180
files/solution-2026-06-01-22-19/chart-agent-long-16k-100k-ttft-r6.svg,images/chart-agent-long-16k-100k-ttft-r6.svg,3040
files/solution-2026-06-01-13-29/chart-quality-tier0.svg,images/chart-quality-tier0.svg,33504
