timestamp,id,group,action,duration
2016-09-24 17:14:52.012145,261869,experiment,view,130.54500394593077
2016-09-24 18:45:09.645857,226546,experiment,view,159.86244011477714
2016-09-24 19:16:21.002533,286353,experiment,view,79.34931499500408
2016-09-24 19:43:06.927785,842279,experiment,view,55.536125635663254
2016-09-24 21:08:22.790333,781883,experiment,view,204.32243678226845
2016-09-24 22:18:15.857434,266695,experiment,view,151.23547461019305
2016-09-24 22:42:41.218757,701620,control,view,302.95155220374755
2016-09-24 22:43:35.119748,701620,control,enroll,
2016-09-25 01:21:10.649300,321250,experiment,view,98.67858269251877
2016-09-25 01:23:19.800167,439910,control,view,61.23445798881803
2016-09-25 01:26:06.276087,328429,experiment,view,216.64905962914145
2016-09-25 01:46:27.950552,842231,control,view,124.82306487947888
2016-09-25 01:52:35.583314,733523,experiment,view,3.9115219869488698
2016-09-25 03:22:38.076523,615902,experiment,view,175.8446678163698
2016-09-25 03:30:27.549922,498050,experiment,view,34.48208727709911
2016-09-25 03:33:02.810074,882775,control,view,326.02576511212214
2016-09-25 03:47:56.064068,203948,experiment,view,86.08807519930275
2016-09-25 04:28:17.178986,491935,control,view,121.30949906490864
2016-09-25 04:44:54.286543,340983,control,view,1.1752266761687906
2016-09-25 05:03:33.161957,764885,control,view,88.68408339836985
2016-09-25 06:42:10.527266,582505,control,view,96.75867184748783
2016-09-25 07:51:53.770343,631215,control,view,95.68029019968753
2016-09-25 08:54:36.045446,824671,control,view,147.15606410190847
2016-09-25 09:02:38.816229,770405,control,view,123.11097271978845
2016-09-25 09:08:03.951532,936682,experiment,view,226.05219413641908
2016-09-25 09:29:44.696878,410087,control,view,176.3824284744726
2016-09-25 10:16:35.140634,731890,control,view,0.3302911960615518
2016-09-25 10:49:24.981595,527582,experiment,view,161.2272355043063
2016-09-25 11:34:32.331561,295365,experiment,view,250.8996844309097
2016-09-25 12:28:05.925431,921337,experiment,view,85.85403894566574
2016-09-25 13:19:20.831250,349863,control,view,206.42963117418356
2016-09-25 13:29:04.997453,689869,control,view,48.02067179685719
2016-09-25 13:38:09.304653,405129,experiment,view,101.81885986874845
2016-09-25 13:42:13.471454,778366,control,view,162.62414560940653
2016-09-25 14:17:31.659702,229923,control,view,63.35128340811369
2016-09-25 15:31:55.087722,714400,control,view,219.0293285062806
2016-09-25 15:45:13.826960,329707,control,view,190.95084298540274
2016-09-25 16:43:30.291540,564371,experiment,view,137.68793813198775
2016-09-25 16:57:43.064602,768278,control,view,212.22473138486257
2016-09-25 18:11:56.439054,769510,experiment,view,149.82986756136333
2016-09-25 19:16:09.574873,380467,experiment,view,113.5532677025317
2016-09-25 19:59:04.642022,894177,experiment,view,120.09898706805599
2016-09-25 20:40:23.581802,761650,experiment,view,119.01748833649037
2016-09-25 21:13:12.432101,381087,control,view,48.23726863354361
2016-09-25 21:13:27.531825,643555,experiment,view,30.615360918614684
2016-09-25 21:37:35.384440,214713,control,view,144.3753778483493
2016-09-25 21:51:20.688405,680052,experiment,view,303.24664835891815
2016-09-25 22:19:46.056483,499744,control,view,128.05057107599896
2016-09-25 22:20:50.474656,322141,control,view,33.74989320868197
2016-09-25 23:28:32.152682,843612,experiment,view,192.55907925324726
2016-09-26 00:04:00.411503,637143,experiment,view,106.709855324512
2016-09-26 01:02:39.455477,206213,experiment,view,227.87402100629402
2016-09-26 02:10:29.009957,570082,experiment,view,219.3535403790436
2016-09-26 02:17:47.563968,910652,control,view,0.8455207661572501
2016-09-26 02:27:45.139547,449674,control,view,100.96479890726337
2016-09-26 03:47:56.523034,331017,experiment,view,197.22722390383683
2016-09-26 04:05:59.656218,372639,experiment,view,112.78990108382698
2016-09-26 04:30:41.928582,764868,control,view,42.33000367305938
2016-09-26 04:44:09.301583,621143,control,view,170.8768315490517
2016-09-26 05:08:23.814181,750852,experiment,view,276.2040935335601
2016-09-26 05:38:32.001533,454570,control,view,35.10056667934231
2016-09-26 07:12:36.128891,696228,experiment,view,71.53966230388946
2016-09-26 08:12:05.516109,711264,control,view,131.76732017620458
2016-09-26 08:29:27.042236,186929,control,view,91.14992372248206
2016-09-26 09:26:04.412667,199974,experiment,view,191.53115636377203
2016-09-26 09:39:15.485514,445368,experiment,view,300.93226275015974
2016-09-26 09:59:44.162433,350409,experiment,view,187.34319369210885
2016-09-26 10:01:47.379075,312262,experiment,view,146.60500479190713
2016-09-26 11:16:37.124808,601217,control,view,68.10401273853387
2016-09-26 12:11:13.616225,748606,control,view,29.8256158735785
2016-09-26 12:41:47.761455,383503,control,view,154.55191756635094
2016-09-26 12:53:14.079990,872068,experiment,view,160.2565971033275
2016-09-26 14:18:12.452002,575385,experiment,view,48.20358037552734
2016-09-26 14:31:15.891846,235211,control,view,42.737213941785754
2016-09-26 14:39:11.227576,686861,experiment,view,40.57387418991884
2016-09-26 14:46:57.327513,662047,experiment,view,39.05740923394799
2016-09-26 14:59:33.523239,197614,control,view,211.58420632352812
2016-09-26 18:39:05.693780,899604,experiment,view,202.46489630141843
2016-09-26 18:43:06.083866,501012,experiment,view,22.882899154581324
2016-09-26 18:55:04.932067,886443,experiment,view,95.56103882481113
2016-09-26 21:26:34.275642,855255,experiment,view,55.80336799124646
2016-09-26 21:28:21.789357,821157,control,view,164.10235851365786
2016-09-26 22:23:08.410679,294859,experiment,view,44.532192913797914
2016-09-26 22:27:11.437412,334974,experiment,view,126.11161756065806
2016-09-26 23:04:07.650157,304691,control,view,49.7104774228755
2016-09-26 23:51:41.805592,456848,control,view,13.421924455348218
2016-09-27 00:33:36.976102,322674,experiment,view,103.60017930193183
2016-09-27 01:57:34.916796,717692,control,view,215.0718528325684
2016-09-27 02:36:41.722719,368469,experiment,view,15.447481754982888
2016-09-27 03:01:39.303050,210817,experiment,view,163.0586843639984
2016-09-27 03:38:18.000837,796410,control,view,147.32387802935114
2016-09-27 03:49:29.954748,184277,experiment,view,193.2124886331128
2016-09-27 04:19:01.410672,868255,control,view,133.12067659390848
2016-09-27 05:02:53.311703,785025,control,view,10.788724171685985
2016-09-27 05:20:13.322552,802689,control,view,51.70963566137428
2016-09-27 05:33:10.086500,820398,control,view,18.153382371135947
2016-09-27 06:56:15.253236,717163,experiment,view,198.19331123932972
2016-09-27 08:15:15.711445,637317,experiment,view,168.62417664412285
2016-09-27 08:20:07.503497,936654,experiment,view,182.30509266837396
2016-09-27 09:16:32.218026,496794,control,view,89.5328601784569
2016-09-27 09:43:09.436511,737099,control,view,188.170132425073
2016-09-27 10:23:06.196886,704060,control,view,22.51093456084648
2016-09-27 11:05:14.741644,223149,control,view,0.1953010622346909
2016-09-27 11:16:29.963912,934864,control,view,76.26926608700445
2016-09-27 11:25:25.506124,511105,experiment,view,175.66377674632218
2016-09-27 11:51:50.226967,914741,control,view,201.85072709296674
2016-09-27 12:42:16.734385,548518,experiment,view,235.29806615308678
2016-09-27 12:50:28.588811,518703,control,view,211.06021826219234
2016-09-27 13:47:25.318607,898152,experiment,view,292.99500937645917
2016-09-27 13:52:59.243799,469740,control,view,227.34877374742868
2016-09-27 14:27:48.039840,714873,control,view,98.29429586915822
2016-09-27 15:05:40.025610,733332,control,view,227.73946520863063
2016-09-27 15:10:59.542965,394398,control,view,87.64956824917766
2016-09-27 15:40:41.160354,372170,experiment,view,71.1617400294558
2016-09-27 16:08:34.296431,403451,experiment,view,198.98790660999367
2016-09-27 17:21:22.477222,479053,experiment,view,185.8172196891976
2016-09-27 17:32:34.930500,655750,experiment,view,319.8570395914453
2016-09-27 17:51:01.628926,273202,experiment,view,122.74112444577118
2016-09-27 18:56:48.795339,801425,experiment,view,109.39572806637985
2016-09-27 19:04:11.230818,233271,control,view,150.07296031464807
2016-09-27 19:10:17.954667,191069,control,view,44.65130434750445
2016-09-27 19:31:17.399589,329294,experiment,view,201.29207581986162
2016-09-27 19:45:33.526471,266401,control,view,141.049600708958
2016-09-27 20:21:50.480674,646190,experiment,view,90.95366811709304
2016-09-27 21:13:46.409085,576792,experiment,view,22.669219543595943
2016-09-27 22:14:53.966632,647633,experiment,view,215.82810124674938
2016-09-27 22:16:31.645130,798115,experiment,view,95.7678424987835
2016-09-27 22:53:36.704038,443787,experiment,view,232.36545280492012
2016-09-27 23:27:32.619298,336739,experiment,view,170.504873666235
2016-09-27 23:31:56.468273,399171,experiment,view,61.88780375767767
2016-09-27 23:38:12.137487,898314,experiment,view,194.53522710611745
2016-09-27 23:45:39.370829,235185,experiment,view,267.7310378876713
2016-09-28 00:02:01.466429,429105,experiment,view,61.246770755017295
2016-09-28 01:37:23.435752,821738,experiment,view,72.31736756413733
2016-09-28 01:48:55.020049,399011,control,view,102.09747215363302
2016-09-28 01:52:43.169740,299341,control,view,234.6357612941374
2016-09-28 02:08:39.791267,711838,experiment,view,201.78580048718135
2016-09-28 02:08:53.050942,711838,experiment,enroll,201.78580048718135
2016-09-28 03:03:13.040395,730103,control,view,166.02376693799965
2016-09-28 04:04:19.658209,530689,control,view,169.00925924676153
2016-09-28 04:18:37.913803,446552,control,view,3.440005355313602
2016-09-28 05:50:37.211916,533985,experiment,view,196.39045974445614
2016-09-28 06:50:59.739018,433404,control,view,39.9127050941739
2016-09-28 07:04:04.909733,381068,control,view,131.90220596371296
2016-09-28 07:21:57.542743,702302,control,view,5.473040573402443
2016-09-28 07:25:11.895418,453338,control,view,69.59164757743352
2016-09-28 07:58:41.200302,658566,experiment,view,2.1178815926925836
2016-09-28 08:13:05.763554,253348,control,view,179.16498217201948
2016-09-28 08:45:33.063572,374346,control,view,100.64218028377502
2016-09-28 09:36:44.302292,483063,experiment,view,159.29674755570153
2016-09-28 10:16:56.841761,905147,experiment,view,130.6936060906016
2016-09-28 10:52:08.470301,233679,control,view,87.4970111343116
2016-09-28 11:36:39.077721,668418,experiment,view,141.3529808722244
2016-09-28 12:20:11.647894,895027,experiment,view,98.26646846182015
2016-09-28 13:09:40.191625,618970,control,view,48.53673262007496
2016-09-28 13:26:29.904000,277232,experiment,view,174.43525321491592
2016-09-28 13:58:55.099460,656583,experiment,view,156.0269871186064
2016-09-28 14:25:42.933338,563953,experiment,view,91.37431419455865
2016-09-28 15:35:28.421540,488252,experiment,view,116.8898125741149
2016-09-28 16:59:07.971676,736093,control,view,46.34865391227419
2016-09-28 18:00:28.575990,523002,experiment,view,29.967377302973844
2016-09-28 18:07:42.401397,519288,control,view,133.808463766719
2016-09-28 18:35:12.865142,616040,experiment,view,139.21106942057847
2016-09-28 18:46:54.466141,205169,control,view,229.77933806951847
2016-09-28 20:09:04.067591,718089,experiment,view,65.99590331166021
2016-09-28 21:13:47.153304,660552,control,view,74.51574932013486
2016-09-28 21:14:57.712295,913436,control,view,97.29775232354874
2016-09-28 21:25:25.914750,650042,control,view,49.76045755671303
2016-09-28 21:59:26.944679,566446,experiment,view,77.99941089917378
2016-09-28 23:59:53.518297,790990,experiment,view,183.2729756163071
2016-09-29 02:17:23.753373,761735,experiment,view,43.63096646966906
2016-09-29 02:18:34.096173,509093,control,view,106.73301501973316
2016-09-29 03:00:27.679119,411556,control,view,29.24169559031803
2016-09-29 03:44:48.504856,397716,experiment,view,216.58660950057572
2016-09-29 03:57:49.813361,187948,control,view,164.48999025498506
2016-09-29 04:38:24.291821,511188,experiment,view,112.7666385870539
2016-09-29 04:44:31.723812,362819,control,view,114.92502267802824
2016-09-29 07:48:17.982263,197540,experiment,view,99.57327501944795
2016-09-29 07:57:32.575019,747580,experiment,view,25.26044738146483
2016-09-29 07:59:37.825966,381748,control,view,235.09080802180517
2016-09-29 09:06:44.061432,495724,control,view,87.22725664760321
2016-09-29 09:22:13.113432,590747,experiment,view,13.862860348758687
2016-09-29 09:35:07.778884,434647,experiment,view,186.73853856173997
2016-09-29 09:37:55.344929,305913,control,view,161.58465593421195
2016-09-29 10:19:40.281271,440442,experiment,view,116.1461097471919
2016-09-29 12:23:15.051271,871140,control,view,29.903728403755792
2016-09-29 12:38:13.439577,202632,control,view,132.04671862335746
2016-09-29 12:38:47.321999,533580,experiment,view,145.76519101748266
2016-09-29 13:42:12.803221,353166,experiment,view,294.9064769419248
2016-09-29 14:06:35.119694,657732,experiment,view,57.97479637886376
2016-09-29 15:02:11.405280,211548,control,view,92.4634125405336
2016-09-29 15:47:56.161400,598270,experiment,view,43.61710634347466
2016-09-29 16:11:23.775861,652825,experiment,view,98.35172029052626
2016-09-29 16:47:29.482400,495779,control,view,117.72269537762295
2016-09-29 16:58:52.366824,641794,control,view,111.83671894401203
2016-09-29 17:06:24.888565,391133,control,view,112.76220980721921
